,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
152,The Social Network,2010,120,7.7,95.0,605743,96.96
153,300,2006,117,7.6,52.0,720431,210.61
154,The Notebook,2004,123,7.8,53.0,505130,81.0
155,Harry Potter and the Half-Blood Prince,2009,153,7.6,78.0,455258,301.96
156,The Grand Budapest Hotel,2014,99,8.1,88.0,683776,59.1
157,Casino,1995,178,8.2,73.0,449634,42.44
158,Lost in Translation,2003,102,7.7,89.0,400842,44.59
159,Rush,2013,123,8.1,74.0,420697,26.95
160,Aliens,1986,137,8.3,84.0,636581,85.16
161,Apocalypto,2006,139,7.8,68.0,284979,50.87
162,True Romance,1993,119,7.9,59.0,201402,12.28
163,There Will Be Blood,2007,158,8.2,93.0,499818,40.22
164,Room,2015,118,8.1,86.0,354172,14.68
165,Hacksaw Ridge,2016,139,8.1,71.0,414766,67.21
166,The Big Short,2015,130,7.8,81.0,346100,70.26
167,Donnie Darko,2001,113,8.0,88.0,726052,1.48
168,12 Years a Slave,2013,134,8.1,96.0,621382,56.67
169,The Hunt for Red October,1990,135,7.6,58.0,174149,122.01
170,Snatch,2000,102,8.3,55.0,763258,30.33
171,2001: A Space Odyssey,1968,149,8.3,84.0,584375,56.95
172,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65.0,460436,295.98
173,Indiana Jones and the Temple of Doom,1984,118,7.6,57.0,435760,179.87
174,The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1443287,342.55
175,Cast Away,2000,143,7.8,73.0,507955,233.63
176,Superbad,2007,113,7.6,76.0,509400,121.46
177,Drive,2011,100,7.8,78.0,555919,35.06
178,Full Metal Jacket,1987,116,8.3,76.0,654617,46.36
179,The Fugitive,1993,130,7.8,87.0,260763,183.88
180,Atonement,2007,123,7.8,85.0,242299,50.93
181,Arrival,2016,116,7.9,81.0,571621,100.55
182,What We Do in the Shadows,2014,86,7.7,76.0,148881,3.33
183,Casino Royale,2006,144,8.0,80.0,567928,167.45
184,Reservoir Dogs,1992,99,8.3,79.0,892162,2.83
185,Million Dollar Baby,2004,132,8.1,86.0,620498,100.49
186,The Thing,1982,109,8.1,57.0,357846,13.78
187,The Perks of Being a Wallflower,2012,103,8.0,67.0,449245,17.74
188,Captain America: Civil War,2016,147,7.8,75.0,640528,408.08
189,Edge of Tomorrow,2014,113,7.9,71.0,583380,100.21
190,Sicario,2015,121,7.6,82.0,358160,46.89
191,Ghostbusters,1984,105,7.8,71.0,345569,238.63
192,Oldboy,2003,120,8.4,77.0,498132,0.71
193,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,744236,303.0
194,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80.0,842542,936.66
195,About Time,2013,123,7.8,55.0,288115,15.32
196,The Blues Brothers,1980,133,7.9,60.0,177886,57.23
197,The Florida Project,2017,111,7.6,92.0,88458,5.9
198,The Hangover,2009,100,7.7,73.0,703550,277.32
199,12 Monkeys,1995,129,8.0,74.0,566559,57.14
200,Howl's Moving Castle,2004,119,8.2,80.0,315788,4.71
201,American History X,1998,119,8.5,62.0,1009388,6.72
202,Remember the Titans,2000,113,7.8,48.0,193500,115.65
203,Children of Men,2006,109,7.9,84.0,453944,35.55
204,Ratatouille,2007,111,8.0,96.0,621786,206.45
205,Indiana Jones and the Last Crusade,1989,127,8.2,65.0,673850,197.17
206,Ocean's Eleven,2001,116,7.7,74.0,502029,183.42
207,Warrior,2011,140,8.2,71.0,425780,13.66
208,Home Alone,1990,103,7.6,63.0,449711,285.76
209,Your Name.,2016,106,8.4,79.0,174896,5.02
210,The Warriors,1979,92,7.6,65.0,91299,22.49
211,"O Brother, Where Art Thou?",2000,107,7.7,69.0,278028,45.51
212,Mulholland Drive,2001,147,8.0,85.0,310897,7.22
213,Inside Out,2015,95,8.1,94.0,588858,356.46
214,Seven Samurai,1954,207,8.6,98.0,306057,0.27
215,Die Hard,1988,132,8.2,72.0,764865,83.01
216,Pan's Labyrinth,2006,118,8.2,98.0,604446,37.63
217,Life Is Beautiful,1997,116,8.6,59.0,602134,57.6
218,The Thin Red Line,1998,170,7.6,78.0,168601,36.4
219,Sin City,2005,124,8.0,74.0,732018,74.1
220,The Pianist,2002,150,8.5,85.0,703662,32.57
221,The Girl with the Dragon Tattoo,2011,158,7.8,71.0,409861,102.52
222,The Sixth Sense,1999,107,8.1,64.0,890721,293.51
223,Fargo,1996,98,8.1,85.0,597993,24.61
224,Predator,1987,107,7.8,45.0,363189,59.74
225,Moneyball,2011,133,7.6,87.0,351923,75.61
226,Princess Mononoke,1997,134,8.4,76.0,328082,2.38
227,Minority Report,2002,145,7.6,80.0,496644,132.07
228,Apollo 13,1995,140,7.6,77.0,261137,173.84
229,Inside Man,2006,129,7.6,76.0,330128,88.51
230,Black Swan,2010,108,8.0,79.0,683665,106.95
231,Gone with the Wind,1939,238,8.1,97.0,282123,198.68
232,The Sound of Music,1965,172,8.0,63.0,197679,163.21
233,The Invisible Guest,2016,106,8.1,None Given,124209,
234,Willy Wonka & the Chocolate Factory,1971,100,7.8,67.0,173076,4.0
235,The Handmaiden,2016,145,8.1,84.0,102761,2.01
236,A Beautiful Mind,2001,135,8.2,72.0,823614,170.74
237,Some Like It Hot,1959,121,8.2,98.0,236853,25.0
238,Unforgiven,1992,130,8.2,85.0,365245,101.16
239,Incredibles 2,2018,118,7.6,80.0,237369,608.58
240,The Bourne Identity,2002,119,7.9,68.0,497149,121.66
241,True Grit,2010,110,7.6,80.0,303403,171.24
242,Mulan,1998,88,7.6,71.0,242879,120.62
243,Spotlight,2015,129,8.1,93.0,403394,45.06
244,Black Hawk Down,2001,144,7.7,74.0,356896,108.64
245,Zombieland,2009,88,7.6,73.0,508481,75.59
246,Wonder,2017,113,8.0,66.0,131939,132.42
247,The Incredibles,2004,115,8.0,90.0,640171,261.44
248,Magnolia,1999,188,8.0,77.0,283556,22.46
249,The Sandlot,1993,101,7.8,55.0,76686,32.42
250,Captain America: The Winter Soldier,2014,136,7.7,70.0,715983,259.77
251,Blue Is the Warmest Colour,2013,180,7.7,88.0,134579,2.2
252,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87.0,563323,42.34
253,Do the Right Thing,1989,120,7.9,93.0,85188,27.55
254,Toy Story,1995,81,8.3,95.0,860323,191.8
255,Primal Fear,1996,129,7.7,47.0,179830,56.12
256,The Imitation Game,2014,114,8.0,73.0,664031,91.13
257,The Exorcist,1973,122,8.0,81.0,352755,232.91
258,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,924173,309.13
259,Casablanca,1942,102,8.5,100.0,507470,1.02
260,Donnie Brasco,1997,127,7.7,76.0,270190,41.91
261,Fiddler on the Roof,1971,181,8.0,67.0,38076,80.5
262,Platoon,1986,120,8.1,92.0,371822,138.53
263,Silver Linings Playbook,2012,122,7.7,81.0,649076,132.09
264,The Curious Case of Benjamin Button,2008,166,7.8,70.0,573407,127.51
265,Sherlock Holmes,2009,128,7.6,57.0,572290,209.03
266,The Untouchables,1987,119,7.9,79.0,271561,76.27
267,Nightcrawler,2014,117,7.9,76.0,445191,32.38
268,The Wizard of Oz,1939,102,8.0,100.0,365370,2.08
269,The Intouchables,2011,112,8.5,57.0,732872,13.18
270,L.A. Confidential,1997,138,8.2,90.0,519438,64.62
271,Tangled,2010,100,7.7,71.0,394284,200.82
272,Serenity,2005,119,7.8,74.0,279116,25.51
273,Trainspotting,1996,93,8.1,83.0,621173,16.5
274,The Godfather: Part III,1990,162,7.6,60.0,348552,66.67
275,Kill Bill: Vol. 2,2004,137,8.0,83.0,665078,66.21
276,Big Fish,2003,125,8.0,58.0,406764,66.26
277,Rocky,1976,120,8.1,70.0,503908,117.24
278,Capernaum,2018,126,8.4,75.0,51336,1.66
279,Training Day,2001,122,7.7,69.0,379539,76.63
280,Lethal Weapon,1987,109,7.6,68.0,231478,65.21
281,Dead Poets Society,1989,128,8.1,79.0,408328,95.86
282,My Cousin Vinny,1992,120,7.6,68.0,103260,52.93
283,Up,2009,96,8.2,88.0,907137,293.0
284,Dallas Buyers Club,2013,117,8.0,80.0,428094,27.3
285,Finding Nemo,2003,100,8.1,90.0,923985,380.84
286,Halloween,1978,91,7.8,87.0,221301,47.0
287,Argo,2012,120,7.7,86.0,561288,136.03
288,Lion,2016,118,8.0,69.0,205115,51.74
289,City of God,2002,130,8.6,79.0,683283,7.56
290,Groundhog Day,1993,101,8.0,72.0,567261,70.91
291,Shaun of the Dead,2004,99,7.9,76.0,500265,13.54
292,Mary Poppins,1964,139,7.8,88.0,153628,102.27
293,Fried Green Tomatoes,1991,130,7.7,64.0,65087,82.42
294,Skyfall,2012,143,7.7,81.0,618456,304.36
295,Dances with Wolves,1990,181,8.0,72.0,234074,184.21
296,Rear Window,1954,112,8.4,100.0,429855,36.76
297,Wind River,2017,107,7.7,73.0,193876,33.8
298,Das Boot,1981,149,8.3,86.0,225169,11.49
299,Moonrise Kingdom,2012,94,7.8,84.0,310088,45.51
300,Brokeback Mountain,2005,134,7.7,87.0,315777,83.04
301,Amélie,2001,122,8.3,69.0,687938,33.23
302,Despicable Me,2010,95,7.6,72.0,489480,251.51
303,Amadeus,1984,160,8.3,88.0,359357,51.97
304,Little Miss Sunshine,2006,101,7.8,80.0,429997,59.89
305,Cinema Paradiso,1988,155,8.5,80.0,221273,11.99
306,"Monsters, Inc.",2001,92,8.0,79.0,791468,289.92
307,Close Encounters of the Third Kind,1977,138,7.6,90.0,179370,132.09
308,The Deer Hunter,1978,183,8.1,86.0,302836,48.98
309,The Last of the Mohicans,1992,112,7.7,76.0,144887,75.51
310,Vertigo,1958,128,8.3,100.0,349897,3.2
311,The Pursuit of Happyness,2006,117,8.0,64.0,435069,163.57
312,The Hobbit: The Desolation of Smaug,2013,161,7.8,66.0,589133,258.37
313,The Fighter,2010,116,7.8,79.0,332834,93.62
314,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66.0,522170,3.9
315,Captain Fantastic,2016,118,7.9,72.0,180575,5.88
316,Y Tu Mamá También,2001,106,7.6,88.0,113177,13.62
317,28 Days Later...,2002,113,7.6,73.0,368092,45.06
318,Edward Scissorhands,1990,105,7.9,74.0,435686,56.36
319,A Few Good Men,1992,138,7.7,62.0,228203,141.34
320,Hell or High Water,2016,102,7.6,88.0,196672,26.86
321,Chinatown,1974,130,8.2,92.0,285124,29.2
322,Slumdog Millionaire,2008,120,8.0,84.0,783940,141.32
323,Rosemary's Baby,1968,137,8.0,96.0,186272,
324,Crash,2004,112,7.7,66.0,414156,54.58
325,Monty Python and the Holy Grail,1975,91,8.2,93.0,489592,1.23
326,Life of Pi,2012,127,7.9,79.0,568118,124.99
327,WALL·E,2008,98,8.4,95.0,970230,223.81
328,As Good as It Gets,1997,139,7.7,67.0,268951,148.48
329,The Hunt,2012,115,8.3,77.0,267470,0.69
330,Blood Diamond,2006,143,8.0,64.0,487705,57.37
331,Saw,2004,103,7.6,46.0,370539,56.0
332,What's Eating Gilbert Grape,1993,118,7.8,73.0,209284,9.17
333,500 Days of Summer,2009,95,7.7,76.0,462627,32.39
334,Bridge of Spies,2015,142,7.6,81.0,279854,72.31
335,First Blood,1982,93,7.7,61.0,220373,47.21
336,Goldfinger,1964,110,7.7,87.0,168110,51.08
337,In Bruges,2008,107,7.9,67.0,382111,7.76
338,3 Idiots,2009,170,8.4,67.0,329485,6.53
339,The Lives of Others,2006,137,8.4,89.0,347708,11.29
340,Aladdin,1992,90,8.0,86.0,362307,217.35
341,Lawrence of Arabia,1962,228,8.3,100.0,260111,44.82
342,The Dirty Dozen,1967,150,7.7,73.0,65462,45.3
343,Falling Down,1993,113,7.6,56.0,165577,40.9
344,The Last Samurai,2003,154,7.7,55.0,390114,111.11
345,The Fault in Our Stars,2014,126,7.7,69.0,335359,124.87
346,Manchester by the Sea,2016,137,7.8,96.0,236803,47.7
347,Hidden Figures,2016,127,7.8,74.0,191875,169.61
348,Deliverance,1972,109,7.7,80.0,96262,7.06
349,Blazing Saddles,1974,93,7.7,73.0,122818,119.5
350,Blue Velvet,1986,120,7.8,76.0,175366,8.55
351,The Little Mermaid,1989,83,7.6,88.0,230518,111.54
352,Before Sunrise,1995,101,8.1,77.0,260458,5.54
353,Mystic River,2003,138,7.9,84.0,409804,90.14
354,Shrek,2001,90,7.8,84.0,597674,267.67
355,Incendies,2010,131,8.3,80.0,140943,6.86
356,Misery,1990,107,7.8,75.0,178142,61.28
357,District 9,2009,112,7.9,81.0,628558,115.65
358,Gravity,2013,91,7.7,96.0,752736,274.09
359,The Game,1997,129,7.8,61.0,334943,48.32
360,Office Space,1999,89,7.7,68.0,236823,10.82
361,Star Trek Into Darkness,2013,132,7.7,72.0,457544,228.78
362,Citizen Kane,1941,119,8.3,100.0,387274,1.59
363,Who Framed Roger Rabbit,1988,104,7.7,83.0,177718,156.45
364,Fear and Loathing in Las Vegas,1998,118,7.6,41.0,253767,10.68
365,3:10 to Yuma,2007,122,7.7,76.0,282532,53.61
366,The Blind Side,2009,129,7.6,53.0,284486,255.96
367,Taken,2008,90,7.8,51.0,556564,145.0
368,Downfall,2004,156,8.2,82.0,323291,5.51
369,Moon,2009,97,7.9,67.0,328358,5.01
370,My Neighbor Totoro,1988,86,8.2,86.0,275395,1.11
371,Big Hero 6,2014,102,7.8,74.0,399047,222.53
372,Dark City,1998,100,7.6,66.0,184489,14.38
373,Captain Phillips,2013,134,7.8,82.0,410210,107.1
374,The Outlaw Josey Wales,1976,135,7.8,69.0,63784,31.8
375,The Hurt Locker,2008,131,7.6,95.0,412669,17.02
376,Road to Perdition,2002,117,7.7,72.0,241625,104.45
377,Toy Story 3,2010,103,8.3,92.0,736557,415.0
378,The Theory of Everything,2014,123,7.7,72.0,388399,35.89
379,A Bronx Tale,1993,121,7.8,80.0,124389,17.27
380,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76.0,147200,78.76
381,The Machinist,2004,101,7.7,61.0,349368,1.08
382,The Skin I Live In,2011,120,7.6,70.0,134217,3.19
383,The Butterfly Effect,2004,113,7.6,30.0,442717,57.94
384,American Gangster,2007,157,7.8,76.0,382462,130.16
385,When Harry Met Sally...,1989,95,7.6,76.0,189616,92.82
386,Singin' in the Rain,1952,103,8.3,99.0,211999,8.82
387,A Fistful of Dollars,1964,99,8.0,65.0,191081,14.5
388,Fantastic Mr. Fox,2009,87,7.9,83.0,191716,21.0
389,Raging Bull,1980,129,8.2,89.0,312049,23.38
390,The Crow,1994,102,7.6,71.0,163010,50.69
391,The Count of Monte Cristo,2002,131,7.8,61.0,126368,54.23
392,Changeling,2008,141,7.7,63.0,232563,35.74
393,Monty Python's Life of Brian,1979,94,8.1,77.0,357518,20.05
394,Star Trek II: The Wrath of Khan,1982,113,7.7,67.0,110292,78.91
