,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
922,Vivre Sa Vie,1962,85,8.0,None Given,26437,
923,The General,1926,67,8.1,None Given,78216,1.03
924,A Wednesday,2008,104,8.1,None Given,72172,
925,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93.0,37108,0.2
926,L'Avventura,1960,144,7.9,None Given,25460,
927,Baahubali 2: The Conclusion,2017,167,8.2,None Given,71848,20.19
928,Evil,2003,113,7.8,61.0,35007,0.02
929,Ace in the Hole,1951,111,8.1,72.0,30249,3.97
930,Interstate 60: Episodes of the Road,2002,116,7.7,None Given,29249,
931,Chak de! India,2007,153,8.2,68.0,71713,1.11
932,The Experiment,2001,120,7.7,60.0,89780,0.14
933,Lifeboat,1944,97,7.6,78.0,25715,
934,Au Revoir les Enfants,1987,104,8.0,88.0,30279,4.54
935,Haider,2014,160,8.1,None Given,48994,0.9
936,"Black Cat, White Cat",1998,127,8.1,73.0,49656,0.35
937,No Man's Land,2001,98,7.9,84.0,43834,1.06
938,A Night at the Opera,1935,96,7.9,None Given,29899,2.54
939,Brief Encounter,1945,86,8.0,92.0,34288,
940,The Purple Rose of Cairo,1985,82,7.7,75.0,45891,10.63
941,In America,2002,105,7.7,76.0,39988,15.54
942,Battleship Potemkin,1925,66,8.0,None Given,51534,0.05
943,The Circus,1928,72,8.2,90.0,26521,
944,Barfi!,2012,151,8.1,None Given,73546,2.8
945,Tokyo Godfathers,2003,92,7.8,73.0,29504,0.13
946,Cell 211,2009,113,7.6,None Given,62667,
947,Departures,2008,130,8.1,68.0,47446,1.5
948,Black,2005,122,8.2,None Given,32733,0.73
949,Paan Singh Tomar,2012,135,8.2,None Given,32062,0.04
950,Dev.D,2009,144,8.0,None Given,27995,0.01
951,The Chorus,2004,97,7.9,56.0,55966,3.64
952,Fireworks,1997,103,7.8,None Given,26807,0.23
953,Miracle on 34th Street,1947,96,7.9,88.0,38954,2.65
954,Jules and Jim,1962,105,7.8,97.0,36359,
955,Hiroshima Mon Amour,1959,90,7.9,None Given,27223,0.09
956,The Triplets of Belleville,2003,80,7.8,91.0,49807,7.0
957,White Heat,1949,114,8.1,None Given,28791,
958,Airlift,2016,130,8.0,None Given,51581,
959,Nine Queens,2000,114,7.9,80.0,48569,1.22
960,Elite Squad 2: The Enemy Within,2010,115,8.0,71.0,77949,0.1
961,Vampire Hunter D: Bloodlust,2000,103,7.7,62.0,28442,0.15
962,Veer-Zaara,2004,192,7.8,67.0,47640,2.92
963,The Ladykillers,1955,91,7.7,91.0,25514,
964,The Killer,1989,111,7.8,82.0,44821,
965,The Past,2013,130,7.8,85.0,43919,1.33
966,The Lost Weekend,1945,101,7.9,None Given,32629,9.46
967,The Magdalene Sisters,2002,114,7.7,83.0,25531,4.89
968,Udta Punjab,2016,148,7.8,None Given,25913,
969,Jab We Met,2007,138,7.9,None Given,46064,0.41
970,Joint Security Area,2000,110,7.8,58.0,25403,
971,Munna Bhai M.B.B.S.,2003,156,8.1,None Given,71295,
972,Duck Soup,1933,69,7.8,93.0,54545,
973,The Shop Around the Corner,1940,99,8.1,96.0,26619,0.2
974,La Grande Illusion,1937,113,8.1,None Given,33054,0.17
975,The Secret of Kells,2009,75,7.6,81.0,30266,0.69
976,G.O.R.A.,2004,127,8.0,None Given,54841,
977,Tangerines,2013,87,8.2,73.0,37153,0.14
978,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64.0,37225,1.11
979,Andaz Apna Apna,1994,160,8.2,None Given,48089,
980,Sherlock Jr.,1924,45,8.2,None Given,39157,0.98
981,Love and Death,1975,85,7.7,89.0,35073,
982,"Carry On, Munna Bhai",2006,144,8.1,None Given,41650,2.22
983,Kind Hearts and Coronets,1949,106,8.0,None Given,33634,
984,Vicky Donor,2012,126,7.8,None Given,38522,0.17
985,Bhaag Milkha Bhaag,2013,186,8.2,None Given,59045,1.63
986,Le Dîner de Cons,1998,80,7.7,73.0,36469,4.07
987,Joyeux Noel,2005,116,7.7,70.0,27052,1.05
988,Central Station,1998,110,8.0,80.0,35195,5.6
989,Adam's Apples,2005,94,7.8,51.0,44298,0.0
990,Zelig,1983,79,7.7,None Given,39023,11.8
991,The Muppet Christmas Carol,1992,85,7.7,64.0,46245,27.28
992,Knockin' on Heaven's Door,1997,87,8.0,None Given,26871,0.0
993,English Vinglish,2012,134,7.8,None Given,32541,1.67
994,Drishyam,2013,160,8.4,None Given,29495,
995,The Edge of Heaven,2007,122,7.8,85.0,30218,0.74
996,C.R.A.Z.Y.,2005,127,7.9,81.0,31128,
997,And Now for Something Completely Different,1971,88,7.6,None Given,28337,
998,The Breath,2009,128,8.0,None Given,31109,
999,Vizontele,2001,110,8.0,None Given,32087,
